Source;Target;weight;Type
u0;i2598;1;Undirected
u1;i146;1;Undirected
u10;i1477;1;Undirected
u100;i1265;1;Undirected
u1000;i621;1;Undirected
u1001;i1934;1;Undirected
u1002;i4560;1;Undirected
u1003;i3246;1;Undirected
u1004;i2693;1;Undirected
u1005;i67;1;Undirected
u1006;i2563;1;Undirected
u1007;i2831;1;Undirected
u1008;i1938;1;Undirected
u1009;i2478;1;Undirected
u101;i1776;1;Undirected
u1010;i405;1;Undirected
u1011;i1520;1;Undirected
u1012;i2655;1;Undirected
u1013;i3155;1;Undirected
u1014;i1509;1;Undirected
u1015;i199;1;Undirected
u1016;i1984;1;Undirected
u1017;i1035;1;Undirected
u1018;i514;1;Undirected
u1019;i591;1;Undirected
u102;i4122;1;Undirected
u1020;i1492;1;Undirected
u1021;i3325;1;Undirected
u1022;i2001;1;Undirected
u1023;i393;1;Undirected
u1024;i2683;1;Undirected
u1025;i2217;1;Undirected
u1026;i2317;1;Undirected
u1027;i3095;1;Undirected
u1028;i835;1;Undirected
u1029;i2448;1;Undirected
u103;i2258;1;Undirected
u1030;i2466;1;Undirected
u1031;i239;1;Undirected
u1032;i2405;1;Undirected
u1033;i2812;1;Undirected
u1034;i3868;1;Undirected
u1035;i979;1;Undirected
u1036;i969;1;Undirected
u1037;i2458;1;Undirected
u1038;i292;1;Undirected
u1039;i1637;1;Undirected
u104;i4112;1;Undirected
u1040;i631;2;Undirected
u1041;i4107;2;Undirected
u1042;i1046;1;Undirected
u1043;i2090;1;Undirected
u1044;i4488;1;Undirected
u1045;i545;1;Undirected
u1046;i717;2;Undirected
u1047;i3064;1;Undirected
u1048;i494;1;Undirected
u1049;i3759;2;Undirected
u105;i1117;1;Undirected
u1050;i3572;1;Undirected
u1051;i2628;1;Undirected
u1052;i398;1;Undirected
u1053;i2605;1;Undirected
u1054;i3742;1;Undirected
u1055;i753;1;Undirected
u1056;i4403;1;Undirected
u1057;i3639;1;Undirected
u1058;i914;2;Undirected
u1059;i2569;1;Undirected
u106;i797;1;Undirected
u1060;i2976;1;Undirected
u1061;i319;1;Undirected
u1062;i95;1;Undirected
u1063;i1729;1;Undirected
u1064;i2557;1;Undirected
u1065;i2629;1;Undirected
u1066;i1445;2;Undirected
u1067;i176;1;Undirected
u1068;i1792;2;Undirected
u1069;i2015;1;Undirected
u107;i4322;1;Undirected
u1070;i1139;1;Undirected
u1071;i1148;1;Undirected
u1072;i3634;1;Undirected
u1073;i1001;1;Undirected
u1074;i4465;2;Undirected
u1075;i3196;1;Undirected
u1076;i1574;1;Undirected
u1077;i1943;1;Undirected
u1078;i462;1;Undirected
u1079;i2168;1;Undirected
u108;i1250;1;Undirected
u1080;i3520;1;Undirected
u1081;i2763;2;Undirected
u1082;i3222;1;Undirected
u1083;i3086;3;Undirected
u1084;i2715;1;Undirected
u1085;i3090;1;Undirected
u1086;i4361;2;Undirected
u1087;i907;1;Undirected
u1088;i1198;1;Undirected
u1089;i2369;1;Undirected
u109;i1201;1;Undirected
u1090;i109;1;Undirected
u1091;i4009;1;Undirected
u1092;i22;1;Undirected
u1093;i3975;1;Undirected
u1094;i3181;1;Undirected
u1095;i3039;1;Undirected
u1096;i3182;2;Undirected
u1097;i267;1;Undirected
u1098;i422;1;Undirected
u1099;i4161;1;Undirected
u11;i890;1;Undirected
u110;i4168;1;Undirected
u1100;i1082;1;Undirected
u1101;i2304;1;Undirected
u1102;i3234;1;Undirected
u1103;i2584;1;Undirected
u1104;i2311;1;Undirected
u1105;i1892;1;Undirected
u1106;i1697;1;Undirected
u1107;i2361;1;Undirected
u1108;i441;1;Undirected
u1109;i3972;1;Undirected
u111;i348;1;Undirected
u1110;i2858;1;Undirected
u1111;i1438;1;Undirected
u1112;i2357;1;Undirected
u1113;i2076;1;Undirected
u1114;i4175;1;Undirected
u1115;i1094;2;Undirected
u1116;i1902;1;Undirected
u1117;i4490;4;Undirected
u1118;i2397;1;Undirected
u1119;i4241;3;Undirected
u112;i3980;1;Undirected
u1120;i1676;1;Undirected
u1121;i1863;1;Undirected
u1122;i2135;1;Undirected
u1123;i3934;1;Undirected
u1124;i2424;1;Undirected
u1125;i2957;1;Undirected
u1126;i1020;1;Undirected
u1127;i2511;1;Undirected
u1128;i1228;1;Undirected
u1129;i1791;1;Undirected
u113;i2833;1;Undirected
u1130;i160;1;Undirected
u1131;i82;1;Undirected
u1132;i4047;1;Undirected
u1133;i3260;1;Undirected
u1134;i1025;1;Undirected
u1135;i115;1;Undirected
u1136;i2956;1;Undirected
u1137;i2167;1;Undirected
u1138;i6;1;Undirected
u1139;i2080;1;Undirected
u114;i2025;1;Undirected
u1140;i186;1;Undirected
u1141;i1831;1;Undirected
u1142;i2454;1;Undirected
u1143;i2796;1;Undirected
u1144;i2506;1;Undirected
u1145;i3422;1;Undirected
u1146;i4517;1;Undirected
u1147;i3298;1;Undirected
u1148;i3198;1;Undirected
u1149;i4100;1;Undirected
u115;i4199;1;Undirected
u1150;i3490;1;Undirected
u1151;i4220;1;Undirected
u1152;i506;1;Undirected
u1153;i3814;1;Undirected
u1154;i4447;1;Undirected
u1155;i1617;1;Undirected
u1156;i1788;1;Undirected
u1157;i1024;1;Undirected
u1158;i1931;1;Undirected
u1159;i25;1;Undirected
u116;i2330;1;Undirected
u1160;i83;1;Undirected
u1161;i1888;1;Undirected
u1162;i3060;1;Undirected
u1163;i4521;1;Undirected
u1164;i815;1;Undirected
u1165;i707;1;Undirected
u1166;i1298;1;Undirected
u1167;i1069;1;Undirected
u1168;i311;1;Undirected
u1169;i3332;1;Undirected
u117;i3257;1;Undirected
u1170;i2355;2;Undirected
u1171;i1861;1;Undirected
u1172;i3708;1;Undirected
u1173;i3978;1;Undirected
u1174;i2601;1;Undirected
u1175;i3699;1;Undirected
u1176;i4078;1;Undirected
u1177;i1857;1;Undirected
u1178;i1221;1;Undirected
u1179;i3542;2;Undirected
u118;i899;1;Undirected
u1180;i824;2;Undirected
u1181;i2647;1;Undirected
u1182;i4345;1;Undirected
u1183;i2431;1;Undirected
u1184;i3171;1;Undirected
u1185;i2686;1;Undirected
u1186;i1540;1;Undirected
u1187;i1286;1;Undirected
u1188;i1595;1;Undirected
u1189;i723;1;Undirected
u119;i1713;1;Undirected
u1190;i8;1;Undirected
u1191;i1780;1;Undirected
u1192;i533;1;Undirected
u1193;i1049;1;Undirected
u1194;i1422;1;Undirected
u1195;i2870;1;Undirected
u1196;i681;1;Undirected
u1197;i1016;1;Undirected
u1198;i800;1;Undirected
u1199;i1453;1;Undirected
u12;i3673;1;Undirected
u120;i4370;1;Undirected
u1200;i2523;1;Undirected
u1201;i2894;1;Undirected
u1202;i4349;4;Undirected
u1203;i3677;1;Undirected
u1204;i472;1;Undirected
u1205;i4062;1;Undirected
u1206;i1175;1;Undirected
u1207;i4523;1;Undirected
u1208;i520;1;Undirected
u1209;i1636;1;Undirected
u121;i3659;1;Undirected
u1210;i1420;1;Undirected
u1211;i4018;1;Undirected
u1212;i3776;1;Undirected
u1213;i384;1;Undirected
u1214;i88;1;Undirected
u1215;i2138;1;Undirected
u1216;i559;1;Undirected
u1217;i3977;1;Undirected
u1218;i1593;1;Undirected
u1219;i2044;1;Undirected
u122;i2944;1;Undirected
u1220;i1702;1;Undirected
u1221;i918;1;Undirected
u1222;i1270;1;Undirected
u1223;i2902;1;Undirected
u1224;i212;1;Undirected
u1225;i4540;1;Undirected
u1226;i265;1;Undirected
u1227;i3746;1;Undirected
u1228;i4085;1;Undirected
u1229;i306;1;Undirected
u123;i3482;1;Undirected
u1230;i680;1;Undirected
u1231;i3967;1;Undirected
u1232;i197;1;Undirected
u1233;i1939;1;Undirected
u1234;i51;2;Undirected
u1235;i863;1;Undirected
u1236;i208;1;Undirected
u1237;i460;1;Undirected
u1238;i2235;1;Undirected
u1239;i745;1;Undirected
u124;i2611;1;Undirected
u1240;i2708;1;Undirected
u1241;i3764;1;Undirected
u1242;i3154;2;Undirected
u1243;i3857;1;Undirected
u1244;i795;1;Undirected
u1245;i474;1;Undirected
u1246;i2710;1;Undirected
u1247;i877;1;Undirected
u1248;i2803;1;Undirected
u1249;i346;1;Undirected
u125;i3492;1;Undirected
u1250;i1218;1;Undirected
u1251;i2617;1;Undirected
u1252;i526;1;Undirected
u1253;i4406;1;Undirected
u1254;i3551;1;Undirected
u1255;i3462;1;Undirected
u1256;i2969;1;Undirected
u1257;i2914;1;Undirected
u1258;i1564;1;Undirected
u1259;i3015;2;Undirected
u126;i1394;1;Undirected
u1260;i1188;1;Undirected
u1261;i3099;1;Undirected
u1262;i170;1;Undirected
u1263;i577;1;Undirected
u1264;i3348;1;Undirected
u1265;i3476;2;Undirected
u1266;i796;1;Undirected
u1267;i860;1;Undirected
u1268;i2867;1;Undirected
u1269;i4415;1;Undirected
u127;i4386;1;Undirected
u1270;i3091;1;Undirected
u1271;i3339;1;Undirected
u1272;i1894;1;Undirected
u1273;i4499;1;Undirected
u1274;i4514;1;Undirected
u1275;i3564;1;Undirected
u1276;i1196;1;Undirected
u1277;i283;1;Undirected
u1278;i3638;1;Undirected
u1279;i3266;1;Undirected
u128;i4272;1;Undirected
u1280;i2651;1;Undirected
u1281;i1273;1;Undirected
u1282;i4277;2;Undirected
u1283;i738;1;Undirected
u1284;i2064;1;Undirected
u1285;i3962;1;Undirected
u1286;i686;1;Undirected
u1287;i1186;1;Undirected
u1288;i4452;1;Undirected
u1289;i362;1;Undirected
u129;i2036;1;Undirected
u1290;i1299;1;Undirected
u1291;i1003;1;Undirected
u1292;i1465;2;Undirected
u1293;i4264;1;Undirected
u1294;i447;1;Undirected
u1295;i4357;1;Undirected
u1296;i2178;1;Undirected
u1297;i740;1;Undirected
u1298;i923;1;Undirected
u1299;i3259;1;Undirected
u13;i3875;1;Undirected
u130;i1011;1;Undirected
u1300;i954;1;Undirected
u1301;i2678;1;Undirected
u1302;i1760;1;Undirected
u1303;i2918;1;Undirected
u1304;i2407;1;Undirected
u1305;i525;1;Undirected
u1306;i4493;1;Undirected
u1307;i2552;1;Undirected
u1308;i30;1;Undirected
u1309;i3304;1;Undirected
u131;i2310;1;Undirected
u1310;i799;1;Undirected
u1311;i1519;1;Undirected
u1312;i1648;1;Undirected
u1313;i1838;1;Undirected
u1314;i3625;1;Undirected
u1315;i539;1;Undirected
u1316;i1970;1;Undirected
u1317;i776;1;Undirected
u1318;i2400;1;Undirected
u1319;i2019;1;Undirected
u132;i2541;1;Undirected
u1320;i1315;1;Undirected
u1321;i2205;1;Undirected
u1322;i4547;1;Undirected
u1323;i616;1;Undirected
u1324;i4138;2;Undirected
u1325;i4177;2;Undirected
u1326;i3395;1;Undirected
u1327;i3286;1;Undirected
u1328;i2607;1;Undirected
u1329;i3917;1;Undirected
u133;i3256;1;Undirected
u1330;i4565;1;Undirected
u1331;i1764;1;Undirected
u1332;i3801;1;Undirected
u1333;i2553;1;Undirected
u1334;i1021;1;Undirected
u1335;i1088;1;Undirected
u1336;i2526;1;Undirected
u1337;i755;1;Undirected
u1338;i2088;1;Undirected
u1339;i1441;1;Undirected
u134;i3577;1;Undirected
u1340;i3173;1;Undirected
u1341;i1209;1;Undirected
u1342;i1945;1;Undirected
u1343;i429;1;Undirected
u1344;i538;1;Undirected
u1345;i1324;1;Undirected
u1346;i4536;1;Undirected
u1347;i4420;1;Undirected
u1348;i4546;1;Undirected
u1349;i2016;1;Undirected
u135;i2676;1;Undirected
u1350;i4036;1;Undirected
u1351;i913;1;Undirected
u1352;i3637;1;Undirected
u1353;i2930;1;Undirected
u1354;i3804;1;Undirected
u1355;i3049;1;Undirected
u1356;i1801;1;Undirected
u1357;i4195;1;Undirected
u1358;i3569;1;Undirected
u1359;i673;1;Undirected
u136;i2962;1;Undirected
u1360;i1168;1;Undirected
u1361;i627;1;Undirected
u1362;i214;1;Undirected
u1363;i3420;1;Undirected
u1364;i1840;1;Undirected
u1365;i4128;1;Undirected
u1366;i4052;1;Undirected
u1367;i3602;1;Undirected
u1368;i2713;10;Undirected
u1369;i1022;1;Undirected
u137;i2659;1;Undirected
u1370;i2219;1;Undirected
u1371;i1869;1;Undirected
u1372;i2762;1;Undirected
u1373;i1002;1;Undirected
u1374;i1304;1;Undirected
u1375;i2538;1;Undirected
u1376;i3158;1;Undirected
u1377;i342;1;Undirected
u1378;i1543;1;Undirected
u1379;i1143;2;Undirected
u138;i1483;1;Undirected
u1380;i2679;1;Undirected
u1381;i2910;1;Undirected
u1382;i240;1;Undirected
u1383;i1935;2;Undirected
u1384;i572;1;Undirected
u1385;i2053;1;Undirected
u1386;i2993;1;Undirected
u1387;i507;1;Undirected
u1388;i2869;1;Undirected
u1389;i3651;1;Undirected
u139;i402;1;Undirected
u1390;i3034;1;Undirected
u1391;i3830;1;Undirected
u1392;i4169;1;Undirected
u1393;i699;1;Undirected
u1394;i1859;1;Undirected
u1395;i968;1;Undirected
u1396;i2825;1;Undirected
u1397;i2540;1;Undirected
u1398;i126;1;Undirected
u1399;i475;1;Undirected
u14;i3656;1;Undirected
u140;i3744;1;Undirected
u1400;i2752;1;Undirected
u1401;i3293;1;Undirected
u1402;i3543;1;Undirected
u1403;i763;1;Undirected
u1404;i2212;1;Undirected
u1405;i4219;1;Undirected
u1406;i1447;1;Undirected
u1407;i1689;1;Undirected
u1408;i2013;2;Undirected
u1409;i1711;1;Undirected
u141;i2953;1;Undirected
u1410;i76;1;Undirected
u1411;i2098;1;Undirected
u1412;i3839;1;Undirected
u1413;i2733;1;Undirected
u1414;i293;1;Undirected
u1415;i316;1;Undirected
u1416;i1042;1;Undirected
u1417;i2344;1;Undirected
u1418;i3867;1;Undirected
u1419;i684;2;Undirected
u142;i3780;1;Undirected
u1420;i1662;1;Undirected
u1421;i3486;1;Undirected
u1422;i1915;1;Undirected
u1423;i2240;1;Undirected
u1424;i991;1;Undirected
u1425;i2300;1;Undirected
u1426;i2874;1;Undirected
u1427;i2148;1;Undirected
u1428;i2703;1;Undirected
u1429;i2602;1;Undirected
u143;i331;1;Undirected
u1430;i1339;1;Undirected
u1431;i1054;1;Undirected
u1432;i2382;1;Undirected
u1433;i2879;1;Undirected
u1434;i1292;1;Undirected
u1435;i1090;1;Undirected
u1436;i590;1;Undirected
u1437;i1816;1;Undirected
u1438;i1997;1;Undirected
u1439;i1853;1;Undirected
u144;i202;1;Undirected
u1440;i2614;1;Undirected
u1441;i3368;1;Undirected
u1442;i4174;1;Undirected
u1443;i1490;1;Undirected
u1444;i1500;1;Undirected
u1445;i1565;1;Undirected
u1446;i4117;1;Undirected
u1447;i1609;1;Undirected
u1448;i2507;1;Undirected
u1449;i743;1;Undirected
u145;i1914;1;Undirected
u1450;i1544;1;Undirected
u1451;i3093;1;Undirected
u1452;i1837;1;Undirected
u1453;i1839;1;Undirected
u1454;i3552;1;Undirected
u1455;i1100;1;Undirected
u1456;i2360;1;Undirected
u1457;i3535;1;Undirected
u1458;i1111;1;Undirected
u1459;i145;1;Undirected
u146;i3292;1;Undirected
u1460;i4285;1;Undirected
u1461;i131;1;Undirected
u1462;i2356;1;Undirected
u1463;i321;1;Undirected
u1464;i1028;1;Undirected
u1465;i1128;1;Undirected
u1466;i3947;2;Undirected
u1467;i3525;1;Undirected
u1468;i3156;1;Undirected
u1469;i946;1;Undirected
u147;i3754;1;Undirected
u1470;i2847;1;Undirected
u1471;i3134;1;Undirected
u1472;i1440;1;Undirected
u1473;i4338;1;Undirected
u1474;i3992;1;Undirected
u1475;i2030;1;Undirected
u1476;i937;1;Undirected
u1477;i2999;1;Undirected
u1478;i1911;1;Undirected
u1479;i3936;1;Undirected
u148;i3225;1;Undirected
u1480;i3587;1;Undirected
u1481;i1987;1;Undirected
u1482;i2072;1;Undirected
u1483;i1191;1;Undirected
u1484;i2514;1;Undirected
u1485;i3614;1;Undirected
u1486;i58;1;Undirected
u1487;i2188;1;Undirected
u1488;i1478;1;Undirected
u1489;i2747;1;Undirected
u149;i3559;1;Undirected
u1490;i2622;1;Undirected
u1491;i3273;1;Undirected
u1492;i149;1;Undirected
u1493;i4061;1;Undirected
u1494;i3971;1;Undirected
u1495;i3541;1;Undirected
u1496;i3558;1;Undirected
u1497;i2837;1;Undirected
u1498;i3626;1;Undirected
u1499;i313;1;Undirected
u15;i3166;1;Undirected
u150;i975;1;Undirected
u1500;i1103;1;Undirected
u1501;i3858;1;Undirected
u1502;i437;1;Undirected
u1503;i2637;2;Undirected
u1504;i3200;1;Undirected
u1505;i3662;1;Undirected
u1506;i4344;1;Undirected
u1507;i2174;1;Undirected
u1508;i1073;1;Undirected
u1509;i3113;1;Undirected
u151;i4216;1;Undirected
u1510;i3766;1;Undirected
u1511;i3423;1;Undirected
u1512;i2231;1;Undirected
u1513;i1748;1;Undirected
u1514;i971;1;Undirected
