ID;id_min;id_max;id_mean;verified_status;Cat;Label;verified_status_n
i0;2.0;2.0;2.0;;InstaID;i0;
i1;1.0;1.0;1.0;;InstaID;i1;
i10;15.0;15.0;15.0;;InstaID;i10;
i100;0.0;0.0;0.0;;InstaID;i100;
i1000;0.0;0.0;0.0;;InstaID;i1000;
i1001;1.0;1.0;1.0;;InstaID;i1001;
i1002;1.0;1.0;1.0;;InstaID;i1002;
i1003;0.0;0.0;0.0;;InstaID;i1003;
i1004;0.0;0.0;0.0;;InstaID;i1004;
i1005;29.0;29.0;29.0;;InstaID;i1005;
i1006;1.0;1.0;1.0;;InstaID;i1006;
i1007;0.0;0.0;0.0;;InstaID;i1007;
i1008;1.0;1.0;1.0;;InstaID;i1008;
i1009;0.0;0.0;0.0;;InstaID;i1009;
i101;1.0;1.0;1.0;;InstaID;i101;
i1010;0.0;0.0;0.0;;InstaID;i1010;
i1011;0.0;0.0;0.0;False;InstaID;i1011;0.0
i1012;5.0;5.0;5.0;;InstaID;i1012;
i1013;1.0;1.0;1.0;;InstaID;i1013;
i1014;1.0;1.0;1.0;;InstaID;i1014;
i1015;1.0;1.0;1.0;;InstaID;i1015;
i1016;2.0;2.0;2.0;;InstaID;i1016;
i1017;0.0;0.0;0.0;;InstaID;i1017;
i1018;4.0;4.0;4.0;;InstaID;i1018;
i1019;0.0;0.0;0.0;;InstaID;i1019;
i102;1.0;1.0;1.0;;InstaID;i102;
i1020;1.0;1.0;1.0;;InstaID;i1020;
i1021;1.0;1.0;1.0;;InstaID;i1021;
i1022;0.0;0.0;0.0;;InstaID;i1022;
i1023;1.0;1.0;1.0;;InstaID;i1023;
i1024;0.0;0.0;0.0;;InstaID;i1024;
i1025;81.0;81.0;81.0;;InstaID;i1025;
i1026;1.0;1.0;1.0;;InstaID;i1026;
i1027;0.0;0.0;0.0;;InstaID;i1027;
i1028;22.0;22.0;22.0;;InstaID;i1028;
i1029;1.0;1.0;1.0;;InstaID;i1029;
i103;2.0;2.0;2.0;;InstaID;i103;
i1030;1.0;1.0;1.0;;InstaID;i1030;
i1031;1.0;1.0;1.0;;InstaID;i1031;
i1032;38.0;38.0;38.0;;InstaID;i1032;
i1033;1.0;1.0;1.0;;InstaID;i1033;
i1034;0.0;0.0;0.0;;InstaID;i1034;
i1035;0.0;0.0;0.0;;InstaID;i1035;
i1036;4.0;4.0;4.0;;InstaID;i1036;
i1037;3.0;3.0;3.0;;InstaID;i1037;
i1038;0.0;0.0;0.0;;InstaID;i1038;
i1039;1.0;1.0;1.0;;InstaID;i1039;
i104;34.0;34.0;34.0;;InstaID;i104;
i1040;0.0;0.0;0.0;;InstaID;i1040;
i1041;0.0;0.0;0.0;;InstaID;i1041;
i1042;0.0;0.0;0.0;;InstaID;i1042;
i1043;5.0;5.0;5.0;;InstaID;i1043;
i1044;0.0;0.0;0.0;;InstaID;i1044;
i1045;0.0;0.0;0.0;;InstaID;i1045;
i1046;1.0;1.0;1.0;;InstaID;i1046;
i1047;0.0;0.0;0.0;;InstaID;i1047;
i1048;1.0;1.0;1.0;;InstaID;i1048;
i1049;0.0;0.0;0.0;;InstaID;i1049;
i105;1.0;1.0;1.0;;InstaID;i105;
i1050;0.0;0.0;0.0;;InstaID;i1050;
i1051;0.0;0.0;0.0;;InstaID;i1051;
i1052;54.0;54.0;54.0;;InstaID;i1052;
i1053;0.0;0.0;0.0;;InstaID;i1053;
i1054;15.0;15.0;15.0;;InstaID;i1054;
i1055;2.0;2.0;2.0;;InstaID;i1055;
i1056;34.0;34.0;34.0;;InstaID;i1056;
i1057;9.0;9.0;9.0;;InstaID;i1057;
i1058;1.0;1.0;1.0;;InstaID;i1058;
i1059;2.0;2.0;2.0;;InstaID;i1059;
i106;4.0;4.0;4.0;;InstaID;i106;
i1060;0.0;0.0;0.0;;InstaID;i1060;
i1061;0.0;0.0;0.0;;InstaID;i1061;
i1062;0.0;0.0;0.0;;InstaID;i1062;
i1063;0.0;0.0;0.0;;InstaID;i1063;
i1064;1.0;1.0;1.0;;InstaID;i1064;
i1065;0.0;0.0;0.0;;InstaID;i1065;
i1066;0.0;0.0;0.0;;InstaID;i1066;
i1067;0.0;0.0;0.0;;InstaID;i1067;
i1068;9.0;9.0;9.0;;InstaID;i1068;
i1069;1.0;1.0;1.0;;InstaID;i1069;
i107;1.0;1.0;1.0;;InstaID;i107;
