ID;u_min;u_max;u_mean;verification_status;Cat;Label;verification_status_n
u0;2.0;2.0;2.0;;InstagramUser;u0;
u1;0.0;0.0;0.0;;InstagramUser;u1;
u10;0.0;0.0;0.0;;InstagramUser;u10;
u100;1.0;1.0;1.0;;InstagramUser;u100;
u1000;5.0;5.0;5.0;;InstagramUser;u1000;
u1001;1.0;1.0;1.0;;InstagramUser;u1001;
u1002;0.0;0.0;0.0;;InstagramUser;u1002;
u1003;0.0;0.0;0.0;;InstagramUser;u1003;
u1004;0.0;0.0;0.0;;InstagramUser;u1004;
u1005;11.0;11.0;11.0;;InstagramUser;u1005;
u1006;1.0;1.0;1.0;;InstagramUser;u1006;
u1007;0.0;0.0;0.0;;InstagramUser;u1007;
u1008;0.0;0.0;0.0;;InstagramUser;u1008;
u1009;0.0;0.0;0.0;;InstagramUser;u1009;
u101;0.0;0.0;0.0;;InstagramUser;u101;
u1010;1.0;1.0;1.0;;InstagramUser;u1010;
u1011;0.0;0.0;0.0;False;InstagramUser;u1011;0.0
u1012;0.0;0.0;0.0;;InstagramUser;u1012;
u1013;1.0;1.0;1.0;;InstagramUser;u1013;
u1014;0.0;0.0;0.0;;InstagramUser;u1014;
u1015;0.0;0.0;0.0;;InstagramUser;u1015;
u1016;1.0;1.0;1.0;;InstagramUser;u1016;
u1017;0.0;0.0;0.0;;InstagramUser;u1017;
u1018;0.0;0.0;0.0;;InstagramUser;u1018;
u1019;7.0;7.0;7.0;;InstagramUser;u1019;
u102;2.0;2.0;2.0;;InstagramUser;u102;
u1020;1.0;1.0;1.0;;InstagramUser;u1020;
u1021;2.0;2.0;2.0;;InstagramUser;u1021;
u1022;1.0;1.0;1.0;;InstagramUser;u1022;
u1023;0.0;0.0;0.0;;InstagramUser;u1023;
u1024;0.0;0.0;0.0;;InstagramUser;u1024;
u1025;0.0;0.0;0.0;;InstagramUser;u1025;
u1026;2.0;2.0;2.0;;InstagramUser;u1026;
u1027;6.0;6.0;6.0;;InstagramUser;u1027;
u1028;0.0;0.0;0.0;;InstagramUser;u1028;
u1029;2.0;2.0;2.0;;InstagramUser;u1029;
u103;0.0;0.0;0.0;;InstagramUser;u103;
u1030;0.0;0.0;0.0;;InstagramUser;u1030;
u1031;0.0;0.0;0.0;;InstagramUser;u1031;
u1032;0.0;0.0;0.0;;InstagramUser;u1032;
u1033;0.0;0.0;0.0;;InstagramUser;u1033;
u1034;0.0;0.0;0.0;;InstagramUser;u1034;
u1035;0.0;0.0;0.0;;InstagramUser;u1035;
u1036;0.0;0.0;0.0;;InstagramUser;u1036;
u1037;1.0;1.0;1.0;;InstagramUser;u1037;
u1038;1.0;1.0;1.0;;InstagramUser;u1038;
u1039;1.0;1.0;1.0;;InstagramUser;u1039;
u104;1.0;1.0;1.0;;InstagramUser;u104;
u1040;0.0;0.0;0.0;;InstagramUser;u1040;
u1041;1.0;1.0;1.0;;InstagramUser;u1041;
u1042;1.0;1.0;1.0;;InstagramUser;u1042;
u1043;0.0;0.0;0.0;;InstagramUser;u1043;
u1044;5.0;5.0;5.0;;InstagramUser;u1044;
u1045;0.0;0.0;0.0;;InstagramUser;u1045;
u1046;0.0;1.0;0.5;;InstagramUser;u1046;
u1047;0.0;0.0;0.0;;InstagramUser;u1047;
u1048;2.0;2.0;2.0;;InstagramUser;u1048;
u1049;0.0;0.0;0.0;;InstagramUser;u1049;
u105;0.0;0.0;0.0;;InstagramUser;u105;
u1050;0.0;0.0;0.0;;InstagramUser;u1050;
u1051;0.0;0.0;0.0;;InstagramUser;u1051;
u1052;0.0;0.0;0.0;;InstagramUser;u1052;
u1053;0.0;0.0;0.0;;InstagramUser;u1053;
u1054;0.0;0.0;0.0;;InstagramUser;u1054;
u1055;1.0;1.0;1.0;;InstagramUser;u1055;
u1056;0.0;0.0;0.0;;InstagramUser;u1056;
u1057;0.0;0.0;0.0;;InstagramUser;u1057;
u1058;0.0;0.0;0.0;;InstagramUser;u1058;
u1059;26.0;26.0;26.0;;InstagramUser;u1059;
u106;0.0;0.0;0.0;;InstagramUser;u106;
u1060;3.0;3.0;3.0;;InstagramUser;u1060;
u1061;0.0;0.0;0.0;;InstagramUser;u1061;
u1062;2.0;2.0;2.0;;InstagramUser;u1062;
u1063;0.0;0.0;0.0;;InstagramUser;u1063;
u1064;0.0;0.0;0.0;;InstagramUser;u1064;
u1065;0.0;0.0;0.0;;InstagramUser;u1065;
u1066;2.0;2.0;2.0;;InstagramUser;u1066;
u1067;0.0;0.0;0.0;;InstagramUser;u1067;
u1068;0.0;3.0;1.5;;InstagramUser;u1068;
u1069;0.0;0.0;0.0;;InstagramUser;u1069;
u107;1.0;1.0;1.0;;InstagramUser;u107;
u1070;0.0;0.0;0.0;;InstagramUser;u1070;
u1071;0.0;0.0;0.0;;InstagramUser;u1071;
u1072;6.0;6.0;6.0;;InstagramUser;u1072;
u1073;1.0;1.0;1.0;;InstagramUser;u1073;
u1074;1.0;1.0;1.0;;InstagramUser;u1074;
u1075;0.0;0.0;0.0;;InstagramUser;u1075;
u1076;0.0;0.0;0.0;;InstagramUser;u1076;
u1077;1.0;1.0;1.0;;InstagramUser;u1077;
u1078;3.0;3.0;3.0;;InstagramUser;u1078;
u1079;1.0;1.0;1.0;;InstagramUser;u1079;
u108;0.0;0.0;0.0;;InstagramUser;u108;
u1080;0.0;0.0;0.0;;InstagramUser;u1080;
u1081;0.0;0.0;0.0;;InstagramUser;u1081;
u1082;0.0;0.0;0.0;;InstagramUser;u1082;
u1083;0.0;0.0;0.0;;InstagramUser;u1083;
u1084;1.0;1.0;1.0;;InstagramUser;u1084;
u1085;0.0;0.0;0.0;;InstagramUser;u1085;
u1086;0.0;0.0;0.0;;InstagramUser;u1086;
u1087;0.0;0.0;0.0;;InstagramUser;u1087;
u1088;1.0;1.0;1.0;;InstagramUser;u1088;
u1089;0.0;0.0;0.0;;InstagramUser;u1089;
u109;1.0;1.0;1.0;;InstagramUser;u109;
u1090;0.0;0.0;0.0;;InstagramUser;u1090;
u1091;0.0;0.0;0.0;;InstagramUser;u1091;
u1092;1.0;1.0;1.0;;InstagramUser;u1092;
u1093;0.0;0.0;0.0;;InstagramUser;u1093;
u1094;0.0;0.0;0.0;;InstagramUser;u1094;
u1095;1.0;1.0;1.0;;InstagramUser;u1095;
u1096;0.0;0.0;0.0;;InstagramUser;u1096;
u1097;1.0;1.0;1.0;;InstagramUser;u1097;
u1098;2.0;2.0;2.0;;InstagramUser;u1098;
u1099;0.0;0.0;0.0;;InstagramUser;u1099;
u11;1.0;1.0;1.0;;InstagramUser;u11;
u110;9.0;9.0;9.0;;InstagramUser;u110;
u1100;2.0;2.0;2.0;;InstagramUser;u1100;
u1101;0.0;0.0;0.0;;InstagramUser;u1101;
